Key	document	term	count
185	answer1	times	1
186	answer2	times	1
187	answer5	times	3
188	answer6	times	1
189	answer7	times	1
190	answer1	upcoming	1
191	answer1	vigorous	1
192	answer1	wage	1
193	answer1	wages	1
194	answer1	wrong	1
195	answer2	yellen	6
196	answer3	yellen	6
197	answer4	yellen	1
198	answer7	yellen	3
199	answer2	fed	4
200	answer3	fed	5
201	answer2	term	4
202	answer3	term	3
203	answer5	term	2
204	answer2	inflation	3
205	answer3	inflation	8
206	answer4	inflation	1
207	answer6	inflation	1
208	answer7	inflation	6
209	answer2	rates	3
210	answer3	rates	6
211	answer4	rates	3
212	answer7	rates	2
213	answer2	bank	2
214	answer2	economists	2
215	answer3	economists	1
216	answer2	janet	2
217	answer3	janet	1
218	answer4	janet	1
219	answer7	janet	2
220	answer2	level	2
221	answer3	level	2
222	answer4	level	1
223	answer7	level	1
224	answer2	mentioned	2
225	answer2	monetary	2
226	answer3	monetary	1
227	answer4	monetary	1
228	answer5	monetary	1
229	answer7	monetary	3
230	answer2	ms	2
231	answer2	policy	2
232	answer3	policy	1
233	answer4	policy	1
234	answer5	policy	2
235	answer6	policy	1
236	answer7	policy	3
237	answer2	rise	2
238	answer3	rise	2
239	answer7	rise	1
240	answer2	stance	2
241	answer2	time	2
242	answer5	time	1
243	answer6	time	2
244	answer2	amount	1
245	answer2	banking	1
246	answer2	care	1
247	answer2	central	1
248	answer2	chief	1
249	answer2	compare	1
250	answer2	complicated	1
251	answer2	connect	1
252	answer2	consumers	1
253	answer3	consumers	1
254	answer5	consumers	1
255	answer2	crisis	1
256	answer2	discussing	1
257	answer2	econ	1
258	answer2	economic	1
259	answer6	economic	1
260	answer2	effects	1
261	answer2	efforts	1
262	answer3	efforts	1
263	answer2	era	1
264	answer2	examples	1
265	answer2	expect	1
266	answer3	expect	2
267	answer7	expect	1
268	answer2	falling	1
269	answer7	falling	1
270	answer2	familiarized	1
271	answer2	fascinating	1
272	answer2	financial	1
273	answer2	focusing	1
274	answer3	focusing	1
275	answer5	focusing	1
276	answer2	forward	1
277	answer2	goals	1
278	answer7	goals	1
279	answer2	gradually	1
280	answer3	gradually	1
281	answer7	gradually	1
282	answer2	hold	1
283	answer3	hold	1
284	answer2	hoping	1
285	answer2	intriguing	1
286	answer2	journal	1
287	answer2	learn	1
288	answer2	low	1
289	answer3	low	2
290	answer4	low	3
291	answer2	lower	1
292	answer3	lower	1
293	answer4	lower	2
294	answer5	lower	1
295	answer2	macroeconomics	1
296	answer5	macroeconomics	1
297	answer6	macroeconomics	1
298	answer7	macroeconomics	1
299	answer2	maintain	1
300	answer7	maintain	1
301	answer2	markets	1
302	answer2	meeting	1
303	answer3	meeting	1
304	answer6	meeting	1
305	answer2	michigan	1
306	answer3	michigan	1
307	answer2	moderate	1
308	answer6	moderate	1
309	answer2	monday	1
310	answer2	money	1
311	answer3	money	1
312	answer4	money	2
313	answer5	money	1
314	answer6	money	1
315	answer7	money	3
316	answer2	nation	1
317	answer4	nation	1
318	answer6	nation	1
319	answer2	opinions	1
320	answer2	pace	1
321	answer2	past	1
322	answer3	past	1
323	answer6	past	1
324	answer7	past	1
325	answer2	plans	1
326	answer3	plans	1
327	answer6	plans	3
328	answer2	policies	1
329	answer5	policies	1
330	answer6	policies	2
331	answer2	potential	1
332	answer2	predicted	1
333	answer2	prefer	1
334	answer4	prefer	1
335	answer2	progressed	1
336	answer2	public	1
337	answer7	public	1
338	answer2	raised	1
339	answer2	read	1
340	answer5	read	1
341	answer6	read	1
342	answer2	reading	1
343	answer2	recreate	1
344	answer2	rising	1
345	answer7	rising	1
346	answer2	scarred	1
347	answer3	scarred	1
348	answer2	scenarios	1
349	answer2	semester	1
350	answer2	shared	1
351	answer6	shared	2
352	answer2	short	1
353	answer3	short	1
354	answer5	short	2
355	answer2	sort	1
356	answer2	spent	1
357	answer2	stable	1
358	answer3	stable	3
359	answer2	standard	1
360	answer2	statement	1
361	answer2	stimulative	1
362	answer7	stimulative	1
363	answer2	street	1
364	answer2	strength	1
365	answer2	substantial	1
366	answer2	sustainable	1
367	answer2	system	1
368	answer2	systems	1
369	answer2	target	1
370	answer6	target	1
371	answer7	target	1
372	answer2	unemployment	1
373	answer3	unemployment	4
374	answer4	unemployment	1
375	answer5	unemployment	4
376	answer6	unemployment	1
377	answer7	unemployment	1
378	answer2	university	1
379	answer3	university	1
380	answer2	wall	1
381	answer2	week	1
382	answer5	week	1
383	answer6	week	1
384	answer2	world	1
385	answer3	world	1
386	answer3	means	3
387	answer4	means	2
388	answer3	talked	3
389	answer3	future	2
390	answer4	future	1
391	answer3	aggregate	1
392	answer7	aggregate	1
393	answer3	balance	1
394	answer3	begins	1
395	answer3	chairwoman	1
396	answer3	constant	1
397	answer3	contractionary	1
398	answer4	contractionary	1
399	answer7	contractionary	1
400	answer3	corresponds	1
401	answer3	curb	1
402	answer3	decrease	1
403	answer7	decrease	6
404	answer3	decreased	1
405	answer3	decreasing	1
406	answer3	demand	1
407	answer6	demand	1
408	answer7	demand	1
409	answer3	determination	1
410	answer3	diminish	1
411	answer3	expectations	1
412	answer7	expectations	2
413	answer3	expressed	1
414	answer3	interview	1
415	answer3	investment	1
416	answer7	investment	1
417	answer3	lines	1
418	answer3	maintaining	1
419	answer3	makes	1
420	answer4	makes	1
421	answer3	meet	1
422	answer6	meet	1
423	answer3	move	1
424	answer3	moving	1
425	answer3	officials	1
426	answer6	officials	1
427	answer3	output	1
428	answer4	output	1
429	answer3	planned	1
430	answer3	price	1
431	answer4	price	1
432	answer3	production	1
433	answer7	production	1
434	answer3	raise	1
435	answer3	raising	1
436	answer3	reach	1
437	answer3	real	1
438	answer3	reality	1
439	answer3	recently	1
440	answer6	recently	2
441	answer3	requirements	1
442	answer3	revive	1
443	answer3	rises	1
444	answer5	rises	1
445	answer3	sense	1
446	answer3	sign	1
447	answer3	slow	1
448	answer3	spending	1
449	answer7	spending	1
450	answer3	steady	1
451	answer3	supply	1
452	answer4	supply	2
453	answer7	supply	3
454	answer4	china	3
455	answer6	china	16
456	answer4	currency	3
457	answer4	federal	3
458	answer4	president	3
459	answer5	president	1
460	answer6	president	1
461	answer4	reserve	3
462	answer4	countries	2
463	answer6	countries	2
464	answer4	elect	2
465	answer4	manipulator	2
466	answer4	announced	1
467	answer4	belief	1
468	answer4	believed	1
469	answer4	bonds	1
470	answer4	campaign	1
471	answer6	campaign	1
472	answer4	changed	1
473	answer4	claimed	1
474	answer4	compete	1
475	answer4	country	1
476	answer6	country	1
477	answer7	country	1
478	answer4	current	1
479	answer4	devaluing	1
480	answer4	dollar	1
481	answer4	economics	1
482	answer4	explained	1
483	answer4	global	1
484	answer4	government	1
485	answer5	government	5
486	answer6	government	1
487	answer4	hasn	1
488	answer4	issues	1
489	answer4	jeopardize	1
490	answer4	jing	1
491	answer4	korea	1
492	answer4	label	1
493	answer4	labeling	1
494	answer4	lowered	1
495	answer4	north	1
496	answer4	originally	1
497	answer4	ping	1
498	answer4	relationships	1
499	answer4	selling	1
500	answer4	strong	1
501	answer4	talks	1
502	answer4	type	1
503	answer4	united	1
504	answer6	united	3
505	answer4	wednesday	1
506	answer4	xi	1
507	answer6	xi	3
508	answer4	yuan	1
509	answer5	shift	9
510	answer7	shift	1
511	answer5	stores	8
512	answer5	retail	7
513	answer5	buying	4
514	answer5	april	2
515	answer5	attention	2
516	answer5	decline	2
517	answer5	factory	2
518	answer5	necessarily	2
519	answer5	online	2
520	answer5	spend	2
521	answer5	won	2
522	answer5	york	2
523	answer6	york	1
524	answer5	accessed	1
525	answer5	action	1
526	answer5	adjust	1
527	answer5	apparently	1
528	answer5	blow	1
529	answer5	business	1
530	answer6	business	2
531	answer5	close	1
532	answer5	cohen	1
533	answer5	communities	1
534	answer5	consumer	1
535	answer5	dinner	1
536	answer5	doesn	1
537	answer5	don	1
538	answer5	economies	1
539	answer5	enacting	1
540	answer5	experiences	1
541	answer5	feel	1
542	answer5	habits	1
543	answer5	html	1
544	answer5	https	1
545	answer5	imply	1
546	answer5	largest	1
547	answer6	largest	1
548	answer5	learning	1
549	answer5	light	1
550	answer5	material	1
551	answer5	movie	1
552	answer5	movies	1
553	answer5	news	1
554	answer6	news	1
555	answer5	nytimes	1
556	answer5	overlooking	1
557	answer5	parks	1
558	answer5	patrick	1
559	answer5	paying	1
560	answer5	payrolls	1
561	answer5	recent	1
562	answer5	ref	1
563	answer5	related	1
564	answer5	relevant	1
565	answer5	report	1
566	answer5	research	1
567	answer5	restaurants	1
568	answer5	sales	1
569	answer5	shed	1
570	answer5	shifting	1
571	answer7	shifting	1
572	answer5	shop	1
573	answer5	shopper	1
574	answer5	shoppers	1
575	answer5	shopping	1
576	answer5	stimulate	1
577	answer5	sustain	1
578	answer5	temporarily	1
579	answer5	theme	1
580	answer5	unemployed	1
581	answer5	walmart	1
582	answer5	www	1
583	answer6	trade	8
584	answer6	nuclear	4
585	answer6	aggressive	3
586	answer6	america	3
587	answer6	impact	3
588	answer6	bad	2
589	answer7	bad	1
590	answer6	chinese	2
591	answer6	energy	2
592	answer6	partner	2
593	answer6	products	2
594	answer6	reacts	2
595	answer6	sale	2
596	answer6	tariff	2
597	answer6	trading	2
598	answer6	agreement	1
599	answer6	andrew	1
600	answer6	arrived	1
601	answer6	avoiding	1
602	answer6	bankruptcy	1
603	answer6	block	1
604	answer6	cignx	1
605	answer6	company	1
606	answer6	concerned	1
607	answer6	costly	1
608	answer6	create	1
609	answer6	creation	1
610	answer6	cut	1
611	answer6	deals	1
612	answer6	depending	1
613	answer6	discuss	1
614	answer6	drop	1
615	answer7	drop	1
616	answer6	electric	1
617	answer6	exports	1
618	answer6	extremely	1
619	answer6	fair	1
620	answer6	favorable	1
621	answer6	filed	1
622	answer6	florida	1
623	answer6	friday	1
624	answer6	gaining	1
625	answer6	gdp	1
626	answer6	handling	1
627	answer6	happen	1
628	answer6	harder	1
629	answer6	harsh	1
630	answer6	helped	1
631	answer6	house	1
632	answer6	impacting	1
633	answer6	impacts	1
634	answer6	importance	1
635	answer6	impose	1
636	answer6	initiative	1
637	answer6	intended	1
638	answer6	investors	1
639	answer6	jinping	1
640	answer6	late	1
641	answer6	leadership	1
642	answer6	learned	1
643	answer6	left	1
644	answer6	lose	1
645	answer6	meetings	1
646	answer6	morning	1
647	answer6	negatively	1
648	answer6	negotiate	1
649	answer6	net	1
650	answer6	obama	1
651	answer6	official	1
652	answer6	opposite	1
653	answer6	pacific	1
654	answer6	partnership	1
655	answer6	percent	1
656	answer6	poor	1
657	answer6	positively	1
658	answer6	power	1
659	answer6	presence	1
660	answer6	previously	1
661	answer6	published	1
662	answer6	purchase	1
663	answer6	push	1
664	answer6	quinn	1
665	answer6	reaction	1
666	answer6	relationship	1
667	answer6	reporters	1
668	answer6	respond	1
669	answer6	rid	1
670	answer6	secrets	1
671	answer6	senior	1
672	answer6	sensitive	1
673	answer6	signature	1
674	answer6	significantly	1
675	answer6	steel	1
676	answer6	steps	1
677	answer6	stressed	1
678	answer6	symbol	1
679	answer6	tack	1
680	answer6	tactics	1
681	answer6	terrible	1
682	answer6	threats	1
683	answer6	thursday	1
684	answer6	told	1
685	answer6	topic	1
686	answer6	trans	1
687	answer6	war	1
688	answer6	westinghouse	1
689	answer6	white	1
690	answer7	actual	2
691	answer7	directly	2
692	answer7	hand	2
693	answer7	causing	1
694	answer7	dollars	1
695	answer7	dug	1
696	answer7	ethical	1
697	answer7	expansionary	1
698	answer7	found	1
699	answer7	funds	1
700	answer7	happening	1
701	answer7	increases	1
702	answer7	keeping	1
703	answer7	leading	1
704	answer7	loanable	1
705	answer7	match	1
706	answer7	person	1
707	answer7	prices	1
708	answer7	reduce	1
709	answer7	response	1
710	answer7	reviving	1
711	answer7	starting	1
712	answer7	trillion	1
